Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
41,Chaughule Mahesh Prabhakar,BHIWANDI  WEST,BJP,3,10th Pass,"Rs 5,64,51,944 ~ 5 Crore+","Rs 2,14,11,935 ~ 2 Crore+"
42,Rais Kasam Shaikh,BHIWANDI EAST,SP,1,Graduate,"Rs 5,48,05,820 ~ 5 Crore+","Rs 3,42,90,556 ~ 3 Crore+"
43,Shantaram Tukaram More,BHIWANDI RURAL (ST),SHS,0,Literate,"Rs 34,86,375 ~ 34 Lacs+","Rs 13,00,073 ~ 13 Lacs+"
44,Ashokrao Shankarrao Chavan,BHOKAR,INC,3,Post Graduate,"Rs 50,15,81,090 ~ 50 Crore+","Rs 4,03,95,685 ~ 4 Crore+"
45,Santosh Raosaheb Danve,BHOKARDAN,BJP,0,Graduate,"Rs 13,48,57,372 ~ 13 Crore+","Rs 1,84,34,100 ~ 1 Crore+"
46,Sangram Anantrao Thopte,BHOR,INC,1,Graduate,"Rs 20,09,44,633 ~ 20 Crore+","Rs 26,70,307 ~ 26 Lacs+"
47,Mahesh (Dada) Kisan Landge,BHOSARI,BJP,1,Graduate,"Rs 2,83,36,672 ~ 2 Crore+",Rs 0 ~
48,Sanjay Waman Sawkare,BHUSAWAL (SC),BJP,0,Others,"Rs 2,28,25,325 ~ 2 Crore+",Rs 0 ~
49,Rajesh Raghunath Patil,BOISAR (ST),Bahujan Vikas Aaghadi,1,12th Pass,"Rs 4,84,10,090 ~ 4 Crore+","Rs 6,99,838 ~ 6 Lacs+"
50,Sunil Rane,BORIVALI,BJP,0,Graduate,,"Rs 50,00,000 ~ 50 Lacs+"
51,Vijay Namdeorao Wadettiwar,BRAMHAPURI,INC,0,10th Pass,"Rs 44,76,12,765 ~ 44 Crore+","Rs 22,22,66,073 ~ 22 Crore+"
52,Sanjay Rambhau Gaikwad,BULDHANA,SHS,5,8th Pass,"Rs 1,63,05,440 ~ 1 Crore+","Rs 39,29,384 ~ 39 Lacs+"
53,Yamini Yashwant Jadhav,BYCULLA,SHS,0,Graduate,"Rs 9,90,37,594 ~ 9 Crore+","Rs 3,14,92,552 ~ 3 Crore+"
54,Mangesh Ramesh Chavan,CHALISGAON,BJP,1,12th Pass,"Rs 16,18,30,940 ~ 16 Crore+","Rs 7,06,84,188 ~ 7 Crore+"
55,Rajesh Narasingrao Patil,CHANDGAD,NCP,0,Graduate Professional,"Rs 3,54,39,023 ~ 3 Crore+","Rs 19,71,625 ~ 19 Lacs+"
56,Dilip Bhausaheb Lande,CHANDIVALI,SHS,8,Graduate,"Rs 2,01,64,543 ~ 2 Crore+","Rs 3,17,222 ~ 3 Lacs+"
57,Dr. Aher Rahul Daulatrao,CHANDWAD,BJP,0,Post Graduate,"Rs 22,84,65,235 ~ 22 Crore+","Rs 1,80,40,227 ~ 1 Crore+"
58,Yogesh Amrutlal Sagar,CHARKOP,BJP,0,12th Pass,"Rs 6,07,18,509 ~ 6 Crore+","Rs 2,51,51,608 ~ 2 Crore+"
59,Prakash Vaikunth Phaterpekar,CHEMBUR,SHS,0,10th Pass,"Rs 4,71,60,147 ~ 4 Crore+",Rs 0 ~
60,Shweta Vidyadhar Mahale,CHIKHLI,BJP,1,10th Pass,,"Rs 63,57,000 ~ 63 Lacs+"
61,Bunty Bhangdiya,CHIMUR,BJP,1,12th Pass,"Rs 92,66,97,759 ~ 92 Crore+","Rs 18,97,19,519 ~ 18 Crore+"
62,Jagtap Laxman Pandurang,CHINCHWAD,BJP,1,10th Pass,"Rs 19,39,55,887 ~ 19 Crore+","Rs 2,64,04,265 ~ 2 Crore+"
63,Shekhar Govindrao Nikam,CHIPLUN,NCP,1,Post Graduate,"Rs 8,14,92,219 ~ 8 Crore+","Rs 1,13,40,641 ~ 1 Crore+"
64,Latabai Chandrakant Sonawane,CHOPDA (ST),SHS,0,12th Pass,"Rs 18,52,69,270 ~ 18 Crore+","Rs 5,78,973 ~ 5 Lacs+"
65,Rahul Suresh Narwekar,COLABA,BJP,2,Graduate Professional,"Rs 38,09,15,932 ~ 38 Crore+","Rs 20,04,10,212 ~ 20 Crore+"
66,Vinod Bhiva Nikole,DAHANU (ST),CPI(M),6,12th Pass,"Rs 51,082 ~ 51 Thou+",Rs 0 ~
67,Kadam Yogeshdada Ramdas,DAPOLI,SHS,0,Graduate,"Rs 11,73,99,829 ~ 11 Crore+","Rs 4,16,91,035 ~ 4 Crore+"
68,Balwant Baswant Wankhade,DARYAPUR (SC),INC,1,12th Pass,"Rs 1,10,26,622 ~ 1 Crore+","Rs 4,85,000 ~ 4 Lacs+"
69,Rahul Subhashrao Kul,DAUND,BJP,7,Graduate Professional,"Rs 4,89,50,543 ~ 4 Crore+","Rs 91,59,613 ~ 91 Lacs+"
70,Antapurkar Raosaheb Jayvanta,DEGLUR (SC),INC,0,12th Pass,,"Rs 21,45,810 ~ 21 Lacs+"
71,Saroj Babulal Ahire,DEOLALI (SC),NCP,0,10th Pass,"Rs 1,60,97,375 ~ 1 Crore+","Rs 18,48,892 ~ 18 Lacs+"
72,Ranjit Prataprao Kamble,DEOLI,INC,0,Post Graduate,"Rs 18,66,25,008 ~ 18 Crore+","Rs 1,81,83,275 ~ 1 Crore+"
73,Chaudhary Manisha Ashok,DHAISAR,BJP,0,Graduate,"Rs 4,93,29,935 ~ 4 Crore+","Rs 13,36,391 ~ 13 Lacs+"
74,Adsad Pratap Arunbhau,DHAMANGAON RAILWAY,BJP,3,Graduate Professional,"Rs 4,20,92,701 ~ 4 Crore+",Rs 0 ~
75,Gaikwad Varsha Eknath,DHARAVI (SC),INC,1,Post Graduate,"Rs 4,81,53,719 ~ 4 Crore+","Rs 22,10,000 ~ 22 Lacs+"
76,Shah Faruk Anwar,DHULE CITY,All India Majlis-E-Ittehadul Muslimeen,7,10th Pass,"Rs 29,00,000 ~ 29 Lacs+",Rs 0 ~
77,Kunalbaba Rohidas Patil,DHULE RURAL,INC,1,Graduate Professional,"Rs 42,15,38,841 ~ 42 Crore+","Rs 39,24,79,000 ~ 39 Crore+"
